CountryCode,state,city,lat,lon,area_code,zip_code
us,New York,New York City,40.7419,-73.9938,"212, 718, 347, 929, 917",10001
us,Pennsylvania,Philadelphia,39.9456,-75.1624,"215, 267, 445",19101
us,Florida,Jacksonville,30.3322,-81.6557,904,32201
us,North Carolina,Charlotte,35.2271,-80.8431,"704, 980",28201
us,Indiana,Indianapolis,39.7684,-86.158,"317, 463",46201
us,Washington,Seattle,47.6097,-122.3331,"206, 425, 253",98101
us,Colorado,Denver,39.7392,-104.9903,"303, 720",80201
us,D.C.,Washington D.C.,38.9072,-77.0369,202,20001
us,Massachusetts,Boston,42.3601,-71.0589,"617, 857",02101
us,Tennessee,Nashville,36.1627,-86.7816,"615, 629",37201
us,Texas,Houston,29.7604,-95.3698,"713, 281, 832, 346",77001
us,Texas,Dallas,32.7767,-96.797,"214, 469, 972, 682",75201
us,Texas,Fort Worth,32.7555,-97.3308,"817, 682",76101
us,California,Los Angeles,34.0604,-118.2294,"213, 310, 323, 424, 818, 626",90001
us,California,San Jose,37.3382,-121.8863,"408, 669",95101
us,California,San Francisco,37.7749,-122.4194,"415, 628",94101
us,Texas,El Paso,31.7619,-106.485,915,79901
us,Michigan,Detroit,42.3314,-83.0458,"313, 734, 248",48201
us,Tennessee,Memphis,35.1495,-90.049,901,37501
us,Kentucky,Louisville,38.2527,-85.7585,502,40201
us,Maryland,Baltimore,39.2904,-76.6122,"410, 443, 667",21201
us,Wisconsin,Milwaukee,43.0389,-87.9065,414,53201
us,Arizona,Tucson,32.2226,-110.9747,520,85701
us,California,Fresno,36.7378,-119.7871,559,93650
us,California,Sacramento,38.5816,-121.4944,916,95814
us,Arizona,Mesa,33.4152,-111.8315,480,85201
us,Georgia,Atlanta,33.749,-84.388,"404, 470, 678, 770",30301
us,Florida,Cape Coral,26.6406,-81.9923,239,33904
us,California,Santa Clarita,34.3917,-118.5426,661,91350
us,California,San Bernardino,34.1083,-117.2898,909,92401
us,Washington,Tacoma,47.2529,-122.4443,253,98401
us,Florida,Hialeah,25.8576,-80.2785,"305, 786",33002
us,Louisiana,Baton Rouge,30.4515,-91.1871,225,70801
us,California,Modesto,37.6391,-120.9969,209,95350
us,California,Fontana,34.0926,-117.435,909,92335
us,Texas,McKinney,33.1975,-96.6398,"214, 972",75069
us,California,Moreno Valley,33.9425,-117.2297,951,92553
us,Iowa,Des Moines,41.5868,-93.625,515,50301
us,North Carolina,Fayetteville,35.0527,-78.8784,910,28301
us,Utah,Salt Lake City,40.7608,-111.891,"385, 801",84101
us,Minnesota,Saint Paul,44.9537,-93.09,651,55101
us,Pennsylvania,Pittsburgh,40.4406,-79.9959,"412, 724",15201
us,North Carolina,Greensboro,36.0726,-79.791,336,27401
us,North Carolina,Durham,35.994,-78.8986,919,27701
us,Nebraska,Lincoln,40.8136,-96.7026,402,68501
us,New Jersey,Jersey City,40.7282,-74.0776,"201, 551",07302
us,Texas,Plano,33.0198,-96.6989,"972, 469",75023
us,Alaska,Anchorage,61.2176,-149.8992,907,99501
us,Nevada,North Las Vegas,36.1989,-115.1175,702,89030
us,Missouri,St. Louis,38.627,-90.1994,314,63101
us,Wisconsin,Madison,43.0731,-89.4012,608,53703
us,Arizona,Chandler,33.3062,-111.841,480,85224
us,Arizona,Gilbert,33.4126,-111.789,480,85233
us,Nevada,Reno,39.5296,-119.8138,775,89501
us,New York,Buffalo,42.8864,-78.8784,716,14201
us,California,Chula Vista,32.64,-117.0842,619,91909
us,Ohio,Cleveland,41.4993,-81.6944,"216, 440",44101
us,Hawaii,Honolulu,21.3069,-157.8583,808,96801
us,California,Anaheim,33.8366,-117.9145,"714, 657",92801
us,Nevada,Henderson,36.0395,-114.9817,702,89002
us,California,Stockton,37.9577,-121.2908,209,95201
us,Colorado,Lakewood,39.7051,-105.0814,303,80226
us,California,Riverside,33.9806,-117.3755,951,92501
us,Texas,San Angelo,31.4638,-100.437,325,76901
us,Connecticut,Bridgeport,41.1792,-73.189,203,06601
us,Arizona,Peoria,33.5806,-112.237,623,85345
us,California,Santa Maria,34.9592,-120.4357,805,93454
us,California,Escondido,33.1192,-116.9338,760,92025
us,Missouri,Springfield,37.2087,-93.2923,417,65801
us,California,Lancaster,34.6868,-118.1542,661,93534
us,California,Thousand Oaks,34.1706,-118.8376,805,91360
us,California,Simi Valley,34.2694,-118.7815,805,93062
us,California,Garden Grove,33.7739,-117.9411,714,92840
us,California,Inglewood,33.9617,-118.22,310,90301
us,California,Downey,33.9401,-118.1327,562,90239
us,North Dakota,Bismarck,46.8083,-100.7837,701,58501
us,Utah,St. George,37.0967,-113.5765,435,84770
us,Texas,Lubbock,33.5779,-101.8552,806,79401
us,South Dakota,Rapid City,44.0805,-103.231,605,57701
us,Alabama,Tuscaloosa,33.2098,-87.5692,205,35401
us,New Mexico,Farmington,36.7281,-108.2187,505,87401
us,Montana,Billings,45.7833,-108.5007,406,59101
us,Wisconsin,Eau Claire,44.8113,-91.4985,715,54701
